Все Дорофей
###./DeepSpeech.py   --train_batch_size 10  --test_batch_size 10   --n_hidden 1024   --epochs 180   --early_stop True   --es_mean_th 0.1   --es_std_th 0.1   --dropout_rate 0.30   --learning_rate 0.0005   --report_count 100   --train_files ../sah_6h_2019-06-12/clips/train.csv --test_files ../sah_6h_2019-06-12/clips/test.csv --checkpoint_dir ../checkpoints --alphabet_config_path ../alphabet_sah.txt



I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:54 | Steps: 97 | Loss: 209.408194                                                                                                                      
Epoch 1 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 184.182946                                                                                                                      
Epoch 2 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 150.563866                                                                                                                      
Epoch 3 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 123.947825                                                                                                                      
Epoch 4 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 102.329644                                                                                                                      
Epoch 5 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 87.939031                                                                                                                       
WARNING:tensorflow:From /home/dorofei/tmp/deepspeech-gpu-venv/lib/python3.6/site-packages/tensorflow/python/training/saver.py:960: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
W1107 22:27:59.882311 139927501215552 deprecation.py:323] From /home/dorofei/tmp/deepspeech-gpu-venv/lib/python3.6/site-packages/tensorflow/python/training/saver.py:960: remove_checkpoint (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to delete files with this prefix.
Epoch 6 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 78.648833                                                                                                                       
Epoch 7 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 70.897309                                                                                                                       
Epoch 8 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 63.821246                                                                                                                       
Epoch 9 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 58.178632                                                                                                                       
Epoch 10 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 53.787448                                                                                                                      
Epoch 11 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 49.539301                                                                                                                      
Epoch 12 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 45.364394                                                                                                                      
Epoch 13 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 42.323832                                                                                                                      
Epoch 14 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 38.568311                                                                                                                      
Epoch 15 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 34.767355                                                                                                                      
Epoch 16 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 31.060992                                                                                                                      
Epoch 17 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 28.189888                                                                                                                      
Epoch 18 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 26.516788                                                                                                                      
Epoch 19 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 24.489159                                                                                                                      
Epoch 20 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 22.506164                                                                                                                      
Epoch 21 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 20.021026                                                                                                                      
Epoch 22 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 18.406708                                                                                                                      
Epoch 23 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 16.403005                                                                                                                      
Epoch 24 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 15.495998                                                                                                                      
Epoch 25 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 14.485050                                                                                                                      
Epoch 26 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 13.569108                                                                                                                      
Epoch 27 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 12.192508                                                                                                                      
Epoch 28 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 11.289570                                                                                                                      
Epoch 29 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 9.962347                                                                                                                       
Epoch 30 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 8.823737                                                                                                                       
Epoch 31 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 7.817806                                                                                                                       
Epoch 32 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 7.609602                                                                                                                       
Epoch 33 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 7.389374                                                                                                                       
Epoch 34 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 6.824893                                                                                                                       
Epoch 35 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 6.301620                                                                                                                       
Epoch 36 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 5.888050                                                                                                                       
Epoch 37 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 5.545903                                                                                                                       
Epoch 38 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 5.453698                                                                                                                       
Epoch 39 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 5.425984                                                                                                                       
Epoch 40 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.943699                                                                                                                       
Epoch 41 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 5.084690                                                                                                                       
Epoch 42 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.913283                                                                                                                       
Epoch 43 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.858221                                                                                                                       
Epoch 44 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.485637                                                                                                                       
Epoch 45 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.329303                                                                                                                       
Epoch 46 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.540474                                                                                                                       
Epoch 47 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.123238                                                                                                                       
Epoch 48 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.038628                                                                                                                       
Epoch 49 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.742300                                                                                                                       
Epoch 50 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.790479                                                                                                                       
Epoch 51 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.625317                                                                                                                       
Epoch 52 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.988842                                                                                                                       
Epoch 53 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 4.101573                                                                                                                       
Epoch 54 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 4.266740                                                                                                                       
Epoch 55 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.477619                                                                                                                       
Epoch 56 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.702084                                                                                                                       
Epoch 57 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.835564                                                                                                                       
Epoch 58 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.442216                                                                                                                       
Epoch 59 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.168589                                                                                                                       
Epoch 60 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.958953                                                                                                                       
Epoch 61 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.925038                                                                                                                       
Epoch 62 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.159027                                                                                                                       
Epoch 63 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.201701                                                                                                                       
Epoch 64 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.369412                                                                                                                       
Epoch 65 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.129006                                                                                                                       
Epoch 66 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.779633                                                                                                                       
Epoch 67 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.887411                                                                                                                       
Epoch 68 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.653882                                                                                                                       
Epoch 69 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.014093                                                                                                                       
Epoch 70 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.935065                                                                                                                       
Epoch 71 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.911032                                                                                                                       
Epoch 72 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.570442                                                                                                                       
Epoch 73 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.549526                                                                                                                       
Epoch 74 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 3.114843                                                                                                                       
Epoch 75 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.392677                                                                                                                       
Epoch 76 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 3.223738                                                                                                                       
Epoch 77 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.834754                                                                                                                       
Epoch 78 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.941331                                                                                                                       
Epoch 79 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.814109                                                                                                                       
Epoch 80 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.810537                                                                                                                       
Epoch 81 |   Training | Elapsed Time: 0:00:51 | Steps: 97 | Loss: 2.731277                                                                                                                       
Epoch 82 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.125022                                                                                                                       
Epoch 83 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.052452                                                                                                                       
Epoch 84 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.320789                                                                                                                       
Epoch 85 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.490914                                                                                                                       
Epoch 86 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.449058                                                                                                                       
Epoch 87 |   Training | Elapsed Time: 0:00:52 | Steps: 97 | Loss: 2.377695                                                                                                                       
